2024-12-11 20:06:41,099 - INFO - SNIGDHA - Seats are not sufficient. 2024-12-11 20:06:41.099347 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:06:41,099 - INFO - S_CHAIR - 1 seats available! Notifying...
2024-12-11 20:06:45,364 - INFO - SNIGDHA - Seats are not sufficient. 2024-12-11 20:06:45.364446 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:06:45,365 - INFO - S_CHAIR - 1 seats available! Notifying...
2024-12-11 20:06:49,672 - INFO - SNIGDHA - Seats are not sufficient. 2024-12-11 20:06:49.672696 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:06:49,672 - INFO - S_CHAIR - 1 seats available! Notifying...
2024-12-11 20:06:53,987 - INFO - SNIGDHA - Seats are not sufficient. 2024-12-11 20:06:53.987963 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:06:53,987 - INFO - S_CHAIR - 1 seats available! Notifying...
2024-12-11 20:06:58,285 - INFO - SNIGDHA - Seats are not sufficient. 2024-12-11 20:06:58.285237 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:06:58,285 - INFO - S_CHAIR - 1 seats available! Notifying...
2024-12-11 20:07:03,069 - INFO - SNIGDHA - Seats are not sufficient. 2024-12-11 20:07:03.069923 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:07:03,069 - INFO - S_CHAIR - 1 seats available! Notifying...
2024-12-11 20:07:07,371 - INFO - SNIGDHA - Seats are not sufficient. 2024-12-11 20:07:07.371952 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:07:07,371 - INFO - S_CHAIR - 1 seats available! Notifying...
2024-12-11 20:07:11,681 - INFO - SNIGDHA - Seats are not sufficient. 2024-12-11 20:07:11.681916 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:07:11,681 - INFO - S_CHAIR - Seats are not sufficient. 2024-12-11 20:07:11.681916 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:07:15,622 - INFO - SNIGDHA - Seats are not sufficient. 2024-12-11 20:07:15.622967 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:07:15,623 - INFO - S_CHAIR - Seats are not sufficient. 2024-12-11 20:07:15.622967 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:07:18,938 - INFO - SNIGDHA - Seats are not sufficient. 2024-12-11 20:07:18.938316 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:07:18,938 - INFO - S_CHAIR - Seats are not sufficient. 2024-12-11 20:07:18.938316 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:07:22,299 - INFO - SNIGDHA - Seats are not sufficient. 2024-12-11 20:07:22.299909 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:07:22,299 - INFO - S_CHAIR - Seats are not sufficient. 2024-12-11 20:07:22.299909 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:07:26,132 - INFO - SNIGDHA - Seats are not sufficient. 2024-12-11 20:07:26.132415 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:07:26,133 - INFO - S_CHAIR - Seats are not sufficient. 2024-12-11 20:07:26.132415 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:07:29,454 - INFO - SNIGDHA - Seats are not sufficient. 2024-12-11 20:07:29.454518 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:07:29,454 - INFO - S_CHAIR - Seats are not sufficient. 2024-12-11 20:07:29.454518 - {'online': 0, 'offline': 0, 'is_divided': True}
2024-12-11 20:07:32,840 - INFO - SNIGDHA - Seats are not sufficient. 2024-12-11 20:07:32.840629 - {'online': 0, 'offline': 0, 'is_divided': True}
